"","origin","destination","sector","value"
"143","AUS","DEU","C04",1.00052512660623
"144","AUS","DNK","C04",1
"145","AUS","ESP","C04",1.01873331308365
"146","AUS","EST","C04",1
"147","AUS","FIN","C04",1
"148","AUS","FRA","C04",1.0001943955943
"149","AUS","GBR","C04",1.01396399259567
"150","AUS","GRC","C04",1.00587294876576
"151","AUS","HRV","C04",1
"152","AUS","HUN","C04",1
"153","AUS","IDN","C04",1
"154","AUS","IND","C04",1.00048353083432
"155","AUS","IRL","C04",1
"156","AUS","ITA","C04",1.02560036420822
"157","AUS","JPN","C04",1.00139061048627
"158","AUS","KOR","C04",1
"159","AUS","LTU","C04",1
"160","AUS","LUX","C04",1.00321285128594
"161","AUS","LVA","C04",1
"162","AUS","MEX","C04",1
"163","AUS","MLT","C04",1
"164","AUS","NLD","C04",1.00195786312222
"165","AUS","NOR","C04",1
"166","AUS","POL","C04",1
"167","AUS","PRT","C04",1.03771688938141
"168","AUS","ROU","C04",1.00321285128594
"169","AUS","ROW","C04",1.0005228125108
"170","AUS","RUS","C04",1
"171","AUS","SVK","C04",1.00321285128594
"172","AUS","SVN","C04",1.00321285128594
"173","AUS","SWE","C04",1
"174","AUS","TUR","C04",1.00317434251308
"175","AUS","TWN","C04",1.02180682182312
"176","AUS","USA","C04",1
"177","AUS","AUS","C05",1
"178","AUS","AUT","C05",1.03489326238632
"179","AUS","BEL","C05",1.02532964229584
"180","AUS","BGR","C05",1.00502097606659
"181","AUS","BRA","C05",1.02240347385406
"182","AUS","CAN","C05",1.01426191926002
"183","AUS","CHE","C05",1.00928317785263
"184","AUS","CHN","C05",1.01309389352798
"185","AUS","CYP","C05",1.00274369418621
"186","AUS","CZE","C05",1.01877190709114
"187","AUS","DEU","C05",1.01530621170998
"188","AUS","DNK","C05",1.0052582770586
"189","AUS","ESP","C05",1.01509807109833
"190","AUS","EST","C05",1.00765556335449
"191","AUS","FIN","C05",1.00940561830997
"192","AUS","FRA","C05",1.02474543094635
"193","AUS","GBR","C05",1.01630941510201
"194","AUS","GRC","C05",1.02396277189255
"195","AUS","HRV","C05",1.00671637296677
"196","AUS","HUN","C05",1.01684771180153
"197","AUS","IDN","C05",1.00002388455672
"198","AUS","IND","C05",1.00634882986546
"199","AUS","IRL","C05",1.00877437472343
"200","AUS","ITA","C05",1.01543091416359
"201","AUS","JPN","C05",1.0200425863266
"202","AUS","KOR","C05",1.01359953641892
"203","AUS","LTU","C05",1.01493775248527
"204","AUS","LUX","C05",1.01223539113998
"205","AUS","LVA","C05",1.01977725982666
"206","AUS","MEX","C05",1.00541283011437
"207","AUS","MLT","C05",1.0232386636734
"208","AUS","NLD","C05",1.00760101675987
"209","AUS","NOR","C05",1.00160865932703
"210","AUS","POL","C05",1.02004014015198
"211","AUS","PRT","C05",1.02632732868194
"212","AUS","ROU","C05",1.03375503778458
"213","AUS","ROW","C05",1.00994202857709
"214","AUS","RUS","C05",1.02156893730164
"215","AUS","SVK","C05",1.10498035430908
"216","AUS","SVN","C05",1.01476665973663
"217","AUS","SWE","C05",1.01653290510178
"218","AUS","TUR","C05",1.03116846084595
"219","AUS","TWN","C05",1.00899516284466
"220","AUS","USA","C05",1
"221","AUS","AUS","C06",1
"222","AUS","AUT","C06",1.04677523612976
"223","AUS","BEL","C06",1.04132659435272
"224","AUS","BGR","C06",1.08680846214295
"225","AUS","BRA","C06",1.04808983325958
"226","AUS","CAN","C06",1.03726614236832
"227","AUS","CHE","C06",1.05430333614349
"228","AUS","CHN","C06",1.07432161331177
"229","AUS","CYP","C06",1.05690406322479
"230","AUS","CZE","C06",1.04437746524811
"231","AUS","DEU","C06",1.0436177778244
"232","AUS","DNK","C06",1.05389537334442
"233","AUS","ESP","C06",1.05209927082062
"234","AUS","EST","C06",1.04859889984131
"235","AUS","FIN","C06",1.04457824230194
"236","AUS","FRA","C06",1.04436023712158
"237","AUS","GBR","C06",1.04931599140167
"238","AUS","GRC","C06",1.04987431049347
"239","AUS","HRV","C06",1.09182620048523
