"","sector","country","value"
"1","C01","AUS",0.441979108354523
"2","C02","AUS",0.640716878284659
"3","C03","AUS",0.61749266754321
"4","C04","AUS",0.577317768441525
"5","C05","AUS",0.294956069038224
"6","C06","AUS",0.473327121166655
"7","C07","AUS",0.3813246670685
"8","C08","AUS",0.31602660891819
"9","C09","AUS",0.395463607857549
"10","C10","AUS",0.212230617451265
"11","C11","AUS",0.345811224497984
"12","C12","AUS",0.348387449620866
"13","C13","AUS",0.404751524409367
"14","C14","AUS",0.360972203318731
"15","C15","AUS",0.141245799006124
"16","C16","AUS",0.39821344659402
"17","C17","AUS",0.674898346346954
"18","C18","AUS",0.387919851474944
"19","C19","AUS",0.372074748627369
"20","C20","AUS",0.238053816545916
"21","C21","AUS",0.347545655228686
"22","C22","AUS",0.386929260132126
"23","C23","AUS",0.380533461868361
"24","C24","AUS",0.625673495420419
"25","C25","AUS",0.799102570839071
"26","C26","AUS",0.315771220914971
"27","C27","AUS",0.444299151304564
"28","C28","AUS",0.485039895564656
"29","C29","AUS",0.614177157809769
"30","C30","AUS",0.450744415420878
"31","C31","AUS",0.443173476794634
"32","C32","AUS",0.290903729712613
"33","C33","AUS",0.532854192996088
"34","C34","AUS",0.437187301960852
"35","C35","AUS",0.500686152638303
"36","C36","AUS",0.60308512917632
"37","C37","AUS",0.436181174142437
"38","C38","AUS",0.429060789752588
"39","C39","AUS",0.545362170502359
"40","C40","AUS",0.784518689374847
"41","C41","AUS",0.456617478344037
"42","C42","AUS",0.708110525924681
"43","C43","AUS",0.485601311614926
"44","C44","AUS",1
"45","C45","AUS",1
"46","C46","AUS",0.486439483026976
"47","C47","AUS",0.608434916644457
"48","C48","AUS",0.753859464563219
"49","C49","AUS",0.740597200307494
"50","C50","AUS",0.48865128535388
"51","C01","AUT",0.422487116189843
"52","C02","AUT",0.507331754442936
"53","C03","AUT",0.348677444475896
"54","C04","AUT",0.554702518293125
"55","C05","AUT",0.275767875394583
"56","C06","AUT",0.356544755322526
"57","C07","AUT",0.273074834363788
"58","C08","AUT",0.288507780288526
"59","C09","AUT",0.391971706688771
"60","C10","AUT",0.047562297304041
"61","C11","AUT",0.17861373981748
"62","C12","AUT",0.500895694143791
"63","C13","AUT",0.406890028581756
"64","C14","AUT",0.401551144607683
"65","C15","AUT",0.266914740394453
"66","C16","AUT",0.404711830273308
"67","C17","AUT",0.531253592458731
"68","C18","AUT",0.448399939126254
"69","C19","AUT",0.383468625762329
"70","C20","AUT",0.288193919450962
"71","C21","AUT",0.351142388292402
"72","C22","AUT",0.403148654013762
"73","C23","AUT",0.250144721603803
"74","C24","AUT",0.607577462390491
