"","country","sector","value"
"332","CHE","C32",12097.1051184532
"333","CHE","C33",21094.8966243199
"334","CHE","C34",6958.83071884886
"335","CHE","C35",25383.5178660697
"336","CHE","C36",11723.26548291
"337","CHE","C37",63.0488472022304
"338","CHE","C38",18609.9049190909
"339","CHE","C39",31494.6110993027
"340","CHE","C40",43434.1911302397
"341","CHE","C41",36033.1601458207
"342","CHE","C42",69230.4564893874
"343","CHE","C43",72350.5116725258
"344","CHE","C44",9956.71455502512
"345","CHE","C45",20076.7910944974
"346","CHE","C46",34117.6170927969
"347","CHE","C47",65877.9590675991
"348","CHE","C48",45084.0260996185
"349","CHE","C49",74745.3819469802
"350","CHE","C50",30446.4204385282
"351","CHN","C01",1390464.09390207
"352","CHN","C02",131179.16228425
"353","CHN","C03",152225.50887239
"354","CHN","C04",1514438.67711782
"355","CHN","C05",1775767.55535972
"356","CHN","C06",1003535.48968905
"357","CHN","C07",388849.971044504
"358","CHN","C08",229707.968323337
"359","CHN","C09",115868.954542285
"360","CHN","C10",861629.046556418
"361","CHN","C11",1398784.15583623
"362","CHN","C12",298740.34055519
"363","CHN","C13",493147.408020495
"364","CHN","C14",859324.267456527
"365","CHN","C15",1850665.36966145
"366","CHN","C16",572558.590416812
"367","CHN","C17",1394748.26210073
"368","CHN","C18",889731.529836892
"369","CHN","C19",1111850.53474899
"370","CHN","C20",1262290.3016885
"371","CHN","C21",364502.865158477
"372","CHN","C22",139351.495201946
"373","CHN","C23",1019283.53542731
"374","CHN","C24",34870.9160342874
"375","CHN","C25",41889.1200598083
"376","CHN","C26",3025636.83762644
"377","CHN","C27",2413.20880987645
"378","CHN","C28",1254732.33032131
"379","CHN","C29",261086.958193793
"380","CHN","C30",585379.276995874
"381","CHN","C31",118451.154140947
"382","CHN","C32",99947.2020550163
"383","CHN","C33",166426.625111802
"384","CHN","C34",31165.0596585405
"385","CHN","C35",547755.228942136
"386","CHN","C36",497.784133180503
"387","CHN","C37",195.690500403344
"388","CHN","C38",333295.623999035
"389","CHN","C39",159080.543801064
"390","CHN","C40",777543.854798387
"391","CHN","C41",129051.278739274
"392","CHN","C42",700218.074655615
"393","CHN","C43",593301.60829582
"394","CHN","C44",300153.261835334
"395","CHN","C45",87562.7548285747
"396","CHN","C46",99608.2090650797
"397","CHN","C47",766345.180540251
"398","CHN","C48",608780.197066878
"399","CHN","C49",547258.223460886
"400","CHN","C50",536708.024967193
"401","CYP","C01",1132.17895155195
"402","CYP","C02",20.0715819526742
"403","CYP","C03",30.2830770537562
"404","CYP","C04",91.9610677144684
"405","CYP","C05",2679.16174016086
"406","CYP","C06",702.097084155712
"407","CYP","C07",196.235963176135
"408","CYP","C08",252.203461479526
"409","CYP","C09",99.7108601783714
"410","CYP","C10",1853.13310078054
"411","CYP","C11",590.806896154792
"412","CYP","C12",357.193437517303
"413","CYP","C13",293.101393331353
"414","CYP","C14",429.661753336427
"415","CYP","C15",274.823424625317
"416","CYP","C16",492.573043909155
"417","CYP","C17",230.125332938217
"418","CYP","C18",224.552237411557
"419","CYP","C19",408.286111534571
"420","CYP","C20",678.580756210739
"421","CYP","C21",289.823627630821
"422","CYP","C22",380.91382003133
"423","CYP","C23",1078.83722731964
"424","CYP","C24",182.399517072361
"425","CYP","C25",159.546108678618
"426","CYP","C26",1844.6563780593
"427","CYP","C27",466.230232738301
"428","CYP","C28",1312.70129707133
"429","CYP","C29",1501.10605636841
"430","CYP","C30",355.571125793465
"431","CYP","C31",571.167850612663
"432","CYP","C32",463.898267997073
"433","CYP","C33",1346.97607375724
"434","CYP","C34",81.4723698527006
"435","CYP","C35",2642.55396390215
"436","CYP","C36",649.59716734415
"437","CYP","C37",181.505647580426
"438","CYP","C38",841.237369230004
"439","CYP","C39",249.264162296038
"440","CYP","C40",1825.51455694903
"441","CYP","C41",1676.72255594982
"442","CYP","C42",2956.51478946883
"443","CYP","C43",1635.60843636225
"444","CYP","C44",434.80642102333
"445","CYP","C45",13.9508073513653
"446","CYP","C46",344.719599505616
"447","CYP","C47",2518.95783390014
"448","CYP","C48",1569.78270735592
"449","CYP","C49",1265.95251560998
"450","CYP","C50",1366.07020035371
"451","CZE","C01",9897.05798226214
"452","CZE","C02",2164.08758563029
"453","CZE","C03",63.048531056236
"454","CZE","C04",9375.64450794861
"455","CZE","C05",16555.8644110155
"456","CZE","C06",4231.46857277383
"457","CZE","C07",3239.8077084273
"458","CZE","C08",3143.04312653121
"459","CZE","C09",1836.79638009335
"460","CZE","C10",8060.29090914877
"461","CZE","C11",10594.2003323473
"462","CZE","C12",3227.22269465117
"463","CZE","C13",10792.2186070147
"464","CZE","C14",4618.66039489754
"465","CZE","C15",11788.9893822335
"466","CZE","C16",12715.4322003948
"467","CZE","C17",16462.0139500194
"468","CZE","C18",9094.19729681688
"469","CZE","C19",15276.141343721
"470","CZE","C20",27768.8831421232
"471","CZE","C21",2064.77666970776
"472","CZE","C22",3687.0474706816
"473","CZE","C23",19038.9173046751
"474","CZE","C24",1708.83182857708
"475","CZE","C25",3257.99170529815
"476","CZE","C26",34614.6244870669
"477","CZE","C27",6132.34570364783
"478","CZE","C28",28739.9097647091
"479","CZE","C29",14896.4759046698
"480","CZE","C30",12385.3947323411
"481","CZE","C31",206.883286780371
"482","CZE","C32",1044.93497660378
"483","CZE","C33",10693.2599805305
"484","CZE","C34",1665.51126563502
"485","CZE","C35",8744.86896573008
"486","CZE","C36",1214.66238132431
"487","CZE","C37",2129.64517487732
"488","CZE","C38",5016.29829143546
"489","CZE","C39",7429.21663219845
"490","CZE","C40",10261.2074588151
"491","CZE","C41",6017.95185439046
"492","CZE","C42",29800.2790839135
"493","CZE","C43",7164.43220298874
"494","CZE","C44",14621.5659705706
"495","CZE","C45",1763.45884455684
"496","CZE","C46",9880.97354215727
"497","CZE","C47",17199.2211964286
"498","CZE","C48",10374.7842958383
"499","CZE","C49",13253.2668849389
"500","CZE","C50",8335.53737656942
"501","DEU","C01",81498.2915963642
"502","DEU","C02",6666.90690717524
"503","DEU","C03",1134.59685845599
"504","DEU","C04",56441.4121564617
"505","DEU","C05",227035.671776357
"506","DEU","C06",50717.5892096275
"507","DEU","C07",33301.3904389292
"508","DEU","C08",46790.7343958765
"509","DEU","C09",26610.519959338
"510","DEU","C10",116004.177042657
"511","DEU","C11",142565.006577337
"512","DEU","C12",66381.0232521585
"513","DEU","C13",80279.3640594779
"514","DEU","C14",54951.2993083447
"515","DEU","C15",132487.406314553
"516","DEU","C16",148459.046400726
"517","DEU","C17",108194.500810683
"518","DEU","C18",100795.456333481
"519","DEU","C19",226764.405560669
"520","DEU","C20",278489.836682506
"521","DEU","C21",48520.4498744353
"522","DEU","C22",57049.9736398163
"523","DEU","C23",168782.579187989
"524","DEU","C24",11927.9894682716
"525","DEU","C25",68488.0976731879
"526","DEU","C26",374571.742391197
"527","DEU","C27",80967.8832758942
"528","DEU","C28",255023.068866547
"529","DEU","C29",222345.927743839
"530","DEU","C30",147570.220171964
"531","DEU","C31",10298.7181986783
"532","DEU","C32",30288.0257837679
"533","DEU","C33",174206.599106313
"534","DEU","C34",40240.834169324
"535","DEU","C35",110210.262121284
"536","DEU","C36",43983.4049324892
"537","DEU","C37",42708.9841617346
"538","DEU","C38",86499.8991053601
"539","DEU","C39",145203.055676543
"540","DEU","C40",184531.46484828
"541","DEU","C41",138332.515621662
"542","DEU","C42",505244.014529705
"543","DEU","C43",203180.204351779
"544","DEU","C44",142366.761031349
"545","DEU","C45",42242.611967519
"546","DEU","C46",275623.858514068
"547","DEU","C47",333277.748536075
"548","DEU","C48",205280.119383353
"549","DEU","C49",381902.871924646
"550","DEU","C50",205241.703944266
"551","DNK","C01",10188.1981130815
"552","DNK","C02",815.19135707856
"553","DNK","C03",643.220349771416
"554","DNK","C04",9483.78001552856
"555","DNK","C05",20907.8479795259
"556","DNK","C06",3402.90606598762
"557","DNK","C07",2667.74249249604
"558","DNK","C08",2262.17582784974
"559","DNK","C09",1423.83402682332
"560","DNK","C10",11188.9912766702
"561","DNK","C11",6235.48498471267
"562","DNK","C12",5744.24299288739
"563","DNK","C13",3974.73405105722
"564","DNK","C14",3747.08265768848
"565","DNK","C15",3624.29357775227
"566","DNK","C16",7748.34967326554
"567","DNK","C17",7258.37785795193
"568","DNK","C18",4555.13279691509
"569","DNK","C19",22995.4139055331
"570","DNK","C20",5731.3341316084
"571","DNK","C21",2763.21716628844
"572","DNK","C22",3407.58368513056
"573","DNK","C23",8360.94837541675
"574","DNK","C24",942.438471724276
"575","DNK","C25",6892.18250544597
"576","DNK","C26",37152.086750029
"577","DNK","C27",7828.43807850813
"578","DNK","C28",34677.916620904
"579","DNK","C29",17851.473446389
"580","DNK","C30",14259.1155089483
"581","DNK","C31",4199.24847271043
"582","DNK","C32",2657.46294613547
"583","DNK","C33",26552.4026745934
"584","DNK","C34",2754.88257685956
"585","DNK","C35",10813.0216362362
"586","DNK","C36",4267.82593014009
"587","DNK","C37",3999.06037151881
"588","DNK","C38",7963.21812723915
"589","DNK","C39",11505.1308890504
"590","DNK","C40",22032.370918731
"591","DNK","C41",8707.8268821736
"592","DNK","C42",46254.8960160511
"593","DNK","C43",10244.6804370433
"594","DNK","C44",15381.7045431167
"595","DNK","C45",3549.47588300052
"596","DNK","C46",21787.6464060389
"597","DNK","C47",26296.8345156259
"598","DNK","C48",25509.3685206382
"599","DNK","C49",47114.2785695941
"600","DNK","C50",16902.1189810957
"601","ESP","C01",53212.7077444677
"602","ESP","C02",1227.24201701443
"603","ESP","C03",4275.72172962299
"604","ESP","C04",52837.9250926632
"605","ESP","C05",171172.123651347
"606","ESP","C06",34867.5726312162
"607","ESP","C07",7503.19554547582
"608","ESP","C08",16049.5473582562
"609","ESP","C09",10291.9405586008
"610","ESP","C10",47013.8647377787
"611","ESP","C11",62850.089203152
"612","ESP","C12",26114.8742503674
"613","ESP","C13",23713.7799884229
"614","ESP","C14",16830.6462332804
"615","ESP","C15",47178.8401664945
"616","ESP","C16",33939.9417978281
"617","ESP","C17",23105.8542771036
"618","ESP","C18",21809.5500295908
"619","ESP","C19",46786.9554972156
"620","ESP","C20",54865.0802073149
"621","ESP","C21",16669.6662535303
"622","ESP","C22",19332.0500707032
"623","ESP","C23",120243.174530298
"624","ESP","C24",12421.1162038182
"625","ESP","C25",22390.9546846381
"626","ESP","C26",161363.919112621
"627","ESP","C27",34460.8283888992
"628","ESP","C28",127186.209999465
"629","ESP","C29",98320.3665631918
"630","ESP","C30",59775.2022802969
"631","ESP","C31",2489.51684360738
"632","ESP","C32",7876.63525296578
"633","ESP","C33",51673.0637736461
"634","ESP","C34",6031.09502416801
"635","ESP","C35",141990.472777905
"636","ESP","C36",9471.87931977184
"637","ESP","C37",14833.1032304215
"638","ESP","C38",44810.2728485564
"639","ESP","C39",28935.1879797872
"640","ESP","C40",53396.6543347386
"641","ESP","C41",34543.8177859501
"642","ESP","C42",171709.912631651
"643","ESP","C43",38536.4691641778
"644","ESP","C44",46623.7906570893
"645","ESP","C45",8726.83596359688
"646","ESP","C46",72653.8116155572
"647","ESP","C47",110946.784710795
"648","ESP","C48",86173.2162400863
"649","ESP","C49",123590.073539136
"650","ESP","C50",82984.01005901
"651","EST","C01",1190.23483810868
"652","EST","C02",533.342365280805
"653","EST","C03",94.516183156083
"654","EST","C04",709.922061255047
"655","EST","C05",2658.76562032544
"656","EST","C06",742.242259389483
"657","EST","C07",1037.06798822154
"658","EST","C08",331.522318568073
"659","EST","C09",86.6491646929352
"660","EST","C10",1436.75917130441
"661","EST","C11",1032.30425982499
"662","EST","C12",378.906912480954
"663","EST","C13",600.028566443669
"664","EST","C14",598.294089460658
"665","EST","C15",938.074590232644
"666","EST","C16",1095.18688152002
"667","EST","C17",1732.24309093921
"668","EST","C18",921.361784950643
"669","EST","C19",1422.02921154085
"670","EST","C20",1029.9835708994
"671","EST","C21",284.155318055108
"672","EST","C22",468.508770372253
"673","EST","C23",1703.52020927847
"674","EST","C24",161.953213205466
"675","EST","C25",189.724366870122
"676","EST","C26",4042.50720989217
"677","EST","C27",848.210540875731
"678","EST","C28",2718.95468603919
"679","EST","C29",1828.47719572625
"680","EST","C30",2267.41287903946
"681","EST","C31",482.579684135829
"682","EST","C32",197.671980045021
"683","EST","C33",1956.13559026175
"684","EST","C34",143.332458238427
"685","EST","C35",1193.44496471402
"686","EST","C36",207.870928923761
"687","EST","C37",230.316568406939
"688","EST","C38",808.349727759905
"689","EST","C39",813.383641262073
"690","EST","C40",1000.03371689986
"691","EST","C41",448.659265590956
"692","EST","C42",3186.09603908313
"693","EST","C43",1011.53694584005
"694","EST","C44",1005.42598215258
"695","EST","C45",344.293974621097
"696","EST","C46",1441.02033512887
"697","EST","C47",2339.5449273292
"698","EST","C48",1497.27684592071
"699","EST","C49",1309.41628280984
"700","EST","C50",1157.02519129639
"701","FIN","C01",7390.54192737342
"702","FIN","C02",5856.76656402101
"703","FIN","C03",512.656050782287
"704","FIN","C04",9337.16030551864
"705","FIN","C05",16894.6984279228
"706","FIN","C06",3115.28819399701
"707","FIN","C07",4847.44277105291
"708","FIN","C08",5192.31255350071
"709","FIN","C09",1552.20549670051
"710","FIN","C10",9844.52919405462
"711","FIN","C11",10907.2815074324
"712","FIN","C12",3712.3254472714
"713","FIN","C13",3928.62353484073
"714","FIN","C14",3878.48767733275
"715","FIN","C15",8164.23419730738
"716","FIN","C16",8525.05995661432
"717","FIN","C17",14238.5701687977
"718","FIN","C18",4495.12591556071
"719","FIN","C19",15723.7964165062
"720","FIN","C20",5488.08164633386
"721","FIN","C21",1806.15561158945
"722","FIN","C22",2748.88850179499
"723","FIN","C23",12295.3304895114
"724","FIN","C24",938.127172916022
"725","FIN","C25",4438.33008053405
"726","FIN","C26",38295.728360216
"727","FIN","C27",7141.58850701327
"728","FIN","C28",22885.8319046344
"729","FIN","C29",16494.8966117169
"730","FIN","C30",12947.7752487426
"731","FIN","C31",2775.95849224275
"732","FIN","C32",3149.09248726843
"733","FIN","C33",9153.44929547265
"734","FIN","C34",2077.26880174027
"735","FIN","C35",9915.39269084104
"736","FIN","C36",4452.83941304703
"737","FIN","C37",2642.5243624365
"738","FIN","C38",5812.35511321516
"739","FIN","C39",12580.338066702
"740","FIN","C40",7768.15380493924
"741","FIN","C41",6407.2359519577
"742","FIN","C42",42932.6034829517
"743","FIN","C43",8238.06691426178
"744","FIN","C44",12511.2368690679
"745","FIN","C45",4262.95176174558
"746","FIN","C46",13410.9647725003
"747","FIN","C47",26995.3690628429
"748","FIN","C48",18428.4791114307
"749","FIN","C49",37936.1066046953
"750","FIN","C50",14652.8065308929
"751","FRA","C01",93463.7404100226
"752","FRA","C02",5114.42109695567
"753","FRA","C03",4126.16526672042
"754","FRA","C04",45984.4629637149
"755","FRA","C05",208135.335522
"756","FRA","C06",37065.4489073592
"757","FRA","C07",16432.7984416154
"758","FRA","C08",24526.931883864
"759","FRA","C09",13421.8190886267
"760","FRA","C10",85868.2997787401
"761","FRA","C11",81322.3689542502
"762","FRA","C12",32623.8017113589
"763","FRA","C13",45607.057838719
"764","FRA","C14",35343.851494173
"765","FRA","C15",46456.5996583056
"766","FRA","C16",71519.3937870854
"767","FRA","C17",47101.4477950325
"768","FRA","C18",32616.2800837163
"769","FRA","C19",115098.181170911
"770","FRA","C20",74291.0516146122
"771","FRA","C21",40699.9079297039
"772","FRA","C22",30572.4939871746
"773","FRA","C23",141369.276487027
"774","FRA","C24",12980.1139289932
"775","FRA","C25",35603.3092125936
"776","FRA","C26",367861.498193024
"777","FRA","C27",60621.3413796434
"778","FRA","C28",227991.582076358
"779","FRA","C29",180966.125892406
"780","FRA","C30",109659.79999154
"781","FRA","C31",1789.88084638491
"782","FRA","C32",20623.3488495648
"783","FRA","C33",82210.7108578787
"784","FRA","C34",16587.4541422048
"785","FRA","C35",127823.800632677
"786","FRA","C36",34212.3229093787
"787","FRA","C37",38074.1952765737
"788","FRA","C38",77911.3773662631
"789","FRA","C39",99879.8397535086
"790","FRA","C40",148908.481256838
"791","FRA","C41",126662.933548368
